Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,Muscles
584,MetaBurn Plyo Push-Up,"The MetaBurn Plyo Push-Up is a dynamic exercise that combines the traditional push-up with a plyometric movement. This explosive variation targets the chest, triceps, and shoulders while also improving overall power and stability.",Strength,Chest,Body Only,Intermediate,,,"Pectorals, Triceps, Shoulders"
585,MetaBurn Psycho Crunch,The MetaBurn Psycho Crunch is a high-energy exercise designed to target the core muscles. It combines dynamic movements to enhance cardiovascular fitness while strengthening the abdominal area.,Cardio,Abdominals,Body Only,Intermediate,,,"Rectus Abdominis, Obliques"
586,MetaBurn Scapular Retraction Plank,The MetaBurn Scapular Retraction Plank is an isometric exercise that focuses on strengthening the muscles around the shoulder blades. It helps improve posture and stability by engaging the upper back and shoulder muscles.,Strength,Shoulders,Body Only,Intermediate,,,"Trapezius, Rhomboids, Deltoids"
587,MetaBurn Scapular Retraction Plank Hold,The MetaBurn Scapular Retraction Plank Hold is an isometric exercise that targets the muscles of the upper back and shoulders. It helps improve posture and stability by engaging the scapular retractors while maintaining a plank position.,Strength,Shoulders,Body Only,Intermediate,,,"Trapezius, Rhomboids, Deltoids"
588,MetaBurn Scorpion,"The MetaBurn Scorpion is a dynamic exercise that combines elements of cardio and strength training. It engages multiple muscle groups, promoting overall fitness and endurance.",Cardio,Full Body,Body Only,Intermediate,,,"Core, Legs, Arms"
589,MetaBurn Side Crawler,"The MetaBurn Side Crawler is a dynamic exercise that engages multiple muscle groups while improving cardiovascular endurance. It involves lateral movements that target the legs and core, making it an effective full-body workout.",Cardio,Full Body,Body Only,Intermediate,,,"Hip Flexors, Glutes, Quads, Hamstrings, Core"
590,MetaBurn Side Plank Oblique Crunch,The Side Plank Oblique Crunch is an effective core exercise that targets the obliques and helps improve stability. It combines the benefits of a side plank with a dynamic crunch movement to engage multiple abdominal muscles.,Strength,Abdominals,Body Only,Intermediate,,,"Obliques, Rectus Abdominis, Transverse Abdominis"
591,MetaBurn Sit-Through,"The MetaBurn Sit-Through is a dynamic movement that enhances mobility and stability throughout the body. It engages multiple muscle groups, promoting coordination and flexibility.",Mobility,Full Body,Body Only,Intermediate,,,"Core, Shoulders, Legs"
592,MetaBurn Sit-Up To V-Up,The MetaBurn Sit-Up To V-Up is an effective core exercise that combines two movements to engage the abdominal muscles. This exercise helps improve core strength and stability.,Strength,Abdominals,Body Only,Intermediate,,,"Rectus Abdominis, Obliques, Hip Flexors"
593,MetaBurn Sit-Up With Rotation,The MetaBurn Sit-Up With Rotation is an effective exercise for strengthening the core. It targets the abdominal muscles while also engaging the obliques through the rotational movement.,Strength,Abdominals,Body Only,Intermediate,,,"Rectus Abdominis, Obliques"
594,MetaBurn Split-Leg Crunch,The Split-Leg Crunch is an effective exercise targeting the core muscles. It involves lying on your back and lifting one leg while crunching your torso towards the opposite knee.,Strength,Abdominals,Body Only,Intermediate,,,"Rectus Abdominis, Obliques, Hip Flexors"
595,MetaBurn Tabletop Hip Thrust,The MetaBurn Tabletop Hip Thrust is an effective exercise for targeting the glutes and lower body. It involves lifting the hips while maintaining a tabletop position to engage the core and strengthen the posterior chain.,Strength,Legs,Body Only,Intermediate,,,"Glutes, Hamstrings, Quadriceps"
596,MetaBurn Tabletop With Russian Kick,The MetaBurn Tabletop With Russian Kick is a dynamic exercise that engages multiple muscle groups. It combines core stability with leg and arm movements to enhance cardiovascular endurance.,Cardio,Full Body,Body Only,Intermediate,,,"Core, Legs, Arms"
597,MetaBurn Toe Driver Abs,The MetaBurn Toe Driver Abs exercise focuses on enhancing core stability and flexibility. It engages the abdominal muscles while promoting mobility through controlled movements.,Mobility,Abdominals,Body Only,Intermediate,,,"Rectus Abdominis, Obliques, Transverse Abdominis"
598,MetaBurn-V-Up,The MetaBurn-V-Up is an intense exercise designed to engage the core and improve cardiovascular fitness. It combines dynamic movements that target the abdominal muscles while elevating your heart rate.,Cardio,Abdominals,Body Only,Intermediate,,,"Rectus Abdominis, Obliques, Transverse Abdominis"
599,X-body V-up,"The X-body V-up is a bodyweight abdominal exercise performed on the floor. It is similar to the popular V-up exercise, but is performed with the arms and legs out wide in an X-shape. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout.",Strength,Abdominals,Body Only,Intermediate,,,rectus abdominis
600,MetaBurn Swivel Crunch,"The MetaBurn Swivel Crunch is an effective exercise for targeting the core, particularly the abdominal muscles. It involves a twisting motion that engages the obliques while strengthening the rectus abdominis.",Mobility,Abdominals,Body Only,Intermediate,,,"Rectus Abdominis, Obliques"
601,Robertson Core-Engaged Dead Bug,The Robertson Core-Engaged Dead Bug is an exercise that focuses on core stability and control. It involves lying on your back and moving your limbs while maintaining a stable core position.,Mobility,Abdominals,Body Only,Intermediate,,,"Rectus Abdominis, Transverse Abdominis, Hip Flexors"
602,FYR2 Double-Under,"The FYR2 Double-Under is a high-intensity jump rope exercise that improves cardiovascular endurance and coordination. It involves jumping twice for each rotation of the rope, engaging multiple muscle groups.",Cardio,Full Body,Body Only,Intermediate,,,"Calves, Hamstrings, Quadriceps, Shoulders, Core"
603,FYR2 Fire Feet with Burpee Tuck Jump Drill,"The FYR2 Fire Feet with Burpee Tuck Jump Drill is an intense cardio exercise that combines quick footwork with explosive movements. It helps improve agility, endurance, and overall fitness.",Cardio,Full Body,Body Only,Intermediate,,,"Legs, Core, Shoulders"
604,FYR2 Flutter Kick,The FYR2 Flutter Kick is an exercise that targets the core and hip flexors. It involves lying on your back and alternating leg movements to engage the abdominal muscles.,Mobility,Abdominals,Body Only,Intermediate,,,"Hip Flexors, Abdominals, Quadriceps"
605,FYR2 Half-Moon,"The FYR2 Half-Moon is a dynamic mobility exercise that enhances flexibility and balance. It engages multiple muscle groups, promoting overall body awareness and control.",Mobility,Full Body,Body Only,Intermediate,,,"Core, Legs, Shoulders"
606,FYR2 Leopard Crawl,"The FYR2 Leopard Crawl is a dynamic movement that engages multiple muscle groups while promoting mobility and stability. It involves crawling on all fours, which helps improve coordination and strength throughout the entire body.",Mobility,Full Body,Body Only,Intermediate,,,"Shoulders, Arms, Core, Legs"
607,FYR2 Plank Alternating Front Step,"The FYR2 Plank Alternating Front Step is a core stability exercise that challenges the abdominal muscles while promoting balance and coordination. It involves transitioning between a plank position and stepping forward alternately, engaging multiple muscle groups.",Strength,Abdominals,Body Only,Intermediate,,,"Rectus Abdominis, Obliques, Transverse Abdominis"
608,FYR2 Shoulder Tap,"The FYR2 Shoulder Tap is an exercise that focuses on improving shoulder stability and mobility. It involves tapping the opposite shoulder while maintaining a plank position, engaging the core and shoulder muscles.",Mobility,Shoulders,Body Only,Intermediate,,,"Deltoids, Trapezius, Serratus Anterior"
609,Hand shift plank,The hand shift plank is a progression of the straight-arm plank exercise where you maintain a plank position as you shift your hands side to side. The additional movement forces the core muscles to work harder to stabilize.,Strength,Abdominals,Body Only,Intermediate,,,"Rectus Abdominis, Obliques, Transverse Abdominis"
610,Cross-body plank march,"The cross-body plank march is an exercise targeting the entire core but especially the obliques. It’s more difficult than a standard plank, with the extra stabilization challenge of bringing one knee at a time off the ground toward the opposing elbow. This will increase the challenge to the core and shoulder muscles, but also present a coordination and balance challenge.",Strength,Abdominals,Body Only,Intermediate,,,"Obliques, Rectus Abdominis, Shoulders"
611,Bent-knee Copenhagen hip adduction,"The bent-knee Copenhagen hip adduction is an advanced exercise that combines the isometric stabilization of the Copenhagen plank with dynamic adductions to challenge the core stabilizers and adductors. This exercise targets the same muscles as the side plank, including the obliques, shoulders, and lateral hips, but places extra emphasis on the adductors and is more difficult than side planks on the floor. Most lifters will need to progress to this version after mastering the basic side plank or Copenhagen plank first.",Strength,Legs,Body Only,Intermediate,,,"Adductors, Obliques, Shoulders, Lateral Hips"
612,Copenhagen plank,"The Copenhagen plank is an advanced version of the side plank performed with one foot on a bench and the other foot hovering under it. This exercise targets the same muscles as the side plank, including the obliques, shoulders, and lateral hips, but places extra emphasis on the adductors and is more difficult than side planks on the floor. Most lifters will need to progress to this version after mastering the basic side plank or feet-elevated side plank first.",Strength,Abdominals,Body Only,Intermediate,,,"obliques, shoulders, lateral hips, adductors"
613,ACFT Hanging leg tuck,"The hanging leg tuck is an exercise targeting the entire body, including the arms, upper back, abs, and hip flexors. This specific exercise is part of the new Army Combat Fitness Test or ACFT. It is performe while hanging from a bar and combines elements of a pull-up with a leg raise. Experienced lifters make these look easy, but beginners may need time to build up to sets of 8-12 reps.",Strength,Full Body,Body Only,Intermediate,,,"Abs, Hip Flexors, Arms, Upper Back"
614,Alternating hanging knee raise,"The alternating hanging knee raise is an exercise targeting the abs, but which also works the lats and hip flexors. Rather than performing both legs at a time, you lift one knee at a time and alternate with each rep as if marching in place. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",Strength,Abdominals,Body Only,Intermediate,,,"Abs, Lats, Hip Flexors"
615,Plank To Sphinx,The Plank to Sphinx exercise is a dynamic movement that transitions from a plank position to a sphinx position. It helps to strengthen the core while improving flexibility and mobility in the spine.,Mobility,Abdominals,Body Only,Intermediate,,,"Rectus Abdominis, Transverse Abdominis, Obliques"
616,Twisting Mountain Climbers,Twisting Mountain Climbers are a dynamic exercise that combines a cardio workout with core strengthening. This exercise engages multiple muscle groups while improving agility and coordination.,Cardio,Full Body,Body Only,Intermediate,,,"Abdominals, Legs, Shoulders, Arms"
617,Jack Knives,Jack Knives are a core exercise that targets the abdominal muscles. They involve lying on your back and simultaneously raising your legs and upper body to form a 'V' shape.,Mobility,Abdominals,Body Only,Intermediate,,,"Rectus Abdominis, Obliques, Hip Flexors"
618,Hanging Leg Raises,Hanging leg raises are an effective exercise for strengthening the abdominal muscles. They involve hanging from a bar and raising the legs to engage the core.,Strength,Abdominals,Body Only,Intermediate,,,"Rectus Abdominis, Hip Flexors"
619,Dumbbell suitcase crunch,"The dumbbell suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",Strength,Abdominals,Medicine Ball,Intermediate,9.0,Average,"Rectus Abdominis, Obliques"
620,Medicine ball rotational throw,"The medicine ball rotational throw is an explosive exercise targeting the abdominals, including the obliques, as well as the hips and upper back. It involves standing sideways to the wall and twisting the torso to hurl a medicine ball into the wall, then catching the ball on the ricochet. It can be performed for lower reps with a focus on power, or for higher reps with a focus on fat loss and conditioning.",Power,Abdominals,Medicine Ball,Intermediate,0.0,Average,"Obliques, Abdominals, Hips, Upper Back"
621,Hollow-hold ball toss,"The hollow-hold ball toss is a more difficult version of the hollow-body hold exercise. It involves tossing a ball to a partner while maintaining an isometric hold in the hollow-body position. It can be done for reps or time in any ab-focused workout, or in an ""I go, you go"" format.",Strength,Abdominals,Medicine Ball,Intermediate,0.0,,"Rectus Abdominis, Transverse Abdominis, Obliques"
622,Partner front Russian twist and pass,"The partner front Russian twist and pass is a weighted version of a popular abdominal training exercise that also utilizes a training partner to add another dynamic component. It targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in an ab-focused portion of any workout.",Strength,Abdominals,Medicine Ball,Beginner,0.0,Average,"Obliques, Rectus Abdominis, Transverse Abdominis"
623,Sit-up with single-arm overhand throw,"The sit-up with single-arm overhand throw is an exercise targeting the core muscles, but the inclusion of the throw also brings in other upper-body muscles. When you come to the top of the sit-up position, you throw a medicine ball using one arm to a partner who then throws it right back to you to be caught with both hands. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Medicine Ball,Intermediate,0.0,,"Rectus Abdominis, Obliques, Shoulders"
624,Medicine ball partner twist,"The medicine ball partner twist is a plyometrics exercise targeting the core muscles, particularly the obliques. You and a partner stand back to back and rotate in unison to pass a medicine ball back and forth on alternating sides.",Mobility,Abdominals,Medicine Ball,Intermediate,0.0,,"Obliques, Rectus Abdominis"
625,Partner side Russian twist and pass,"The partner side Russian twist and pass is a weighted version of a popular abdominal training exercise that also utilizes a training partner to add another dynamic component. It primarily targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in an ab-focused portion of any workout.",Strength,Abdominals,Medicine Ball,Beginner,0.0,,"Obliques, Rectus Abdominis, Core"
626,Medicine ball half moon,"The medicine ball half moon is a dynamic core exercise performed around and over a medicine ball or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, and targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a medicine ball and bodyweight circuit workout.",Strength,Abdominals,Medicine Ball,Intermediate,,,"Obliques, Rectus Abdominis"
627,Exercise ball roll-out,"The exercise ball roll-out is an exercise that strengthens the core, shoulders and upper- back muscles. It starts in a plank-style position, with the arms resting on a ball. Then, roll the ball out in front of you as far as you can while maintaining a strong, neutral spinal position. The lack of stability from the ball increases the degree of difficulty. This is a difficult movement, and beginners may need to use a limited range of motion.",Strength,Abdominals,Medicine Ball,Intermediate,,,"Rectus Abdominis, Obliques, Shoulders, Upper Back"
628,Medicine ball pass,"The medicine ball pass is a simple partner-based exercise that involves throwing a weighted ball back and forth. It can be part of a dynamic warm-up for lifting or athletics, but can also work as active rest or as a component of circuit training.",Cardio,Full Body,Medicine Ball,Intermediate,,,"Chest, Shoulders, Arms, Abdominals"
629,Partner medicine ball sit-up,"The partner medicine ball sit-up is a more difficult version of the traditional abdominal exercise. Two partners pass a medicine ball back and forth at the top of each rep, so each one must alternate a weighted rep with an unweighted rep. This technique can be done for reps or time in any ab-focused workout, in an ""I go, you go"" format.",Strength,Abdominals,Medicine Ball,Intermediate,,,"Rectus Abdominis, Obliques"
630,Medicine ball Russian twist,"The medicine ball Russian twist is a weighted version of a popular abdominal training exercise. It targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in the ab-focused portion of any workout.",Strength,Abdominals,Medicine Ball,Intermediate,,,"Obliques, Rectus Abdominis"
631,30 Medicine Ball Slam,"The medicine ball slam is an explosive exercise for developing power, strength, and speed. Muscles worked include the abdominals, legs, triceps, shoulders, and lats. The slams are usually done in rapid succession to complete one set. It can also be a component of a power or athleticism-focused circuit workout.",Power,Full Body,Medicine Ball,Intermediate,,,"abdominals, legs, triceps, shoulders, lats"
632,Medicine ball twist,"The medicine ball twist is an exercise targeting the abdominal muscles, particularly the obliques. It is similar in many ways to a Russian twist exercise. The ball is held tight to the chest throughout the movement, and then the torso is rotated from side to side for the desired number of reps or a set amount of time.",Strength,Abdominals,Medicine Ball,Intermediate,,,"Obliques, Rectus Abdominis"
633,FYR2 Medicine Ball Complex,The FYR2 Medicine Ball Complex is a dynamic exercise routine that utilizes a medicine ball to engage multiple muscle groups. It focuses on building strength and coordination through a series of compound movements.,Strength,Full Body,Medicine Ball,Intermediate,,,"Core, Shoulders, Legs, Arms"
634,FYR2 Medicine Ball Fire-Feet Drill,"The FYR2 Medicine Ball Fire-Feet Drill is an intense cardio exercise that focuses on quick foot movements while holding a medicine ball. It engages multiple muscle groups, including the legs and core, to improve agility and overall fitness.",Cardio,Full Body,Medicine Ball,Intermediate,,,"Legs, Core, Shoulders"
635,FYR2 Medicine Ball Knees-to-Chest,"The FYR2 Medicine Ball Knees-to-Chest is an effective exercise for strengthening the core. It involves bringing the knees towards the chest while holding a medicine ball, engaging the abdominal muscles throughout the movement.",Strength,Abdominals,Medicine Ball,Intermediate,,,"Rectus Abdominis, Hip Flexors, Obliques"
636,FYR2 Medicine Ball Mountain Climber,"The FYR2 Medicine Ball Mountain Climber is a dynamic exercise that combines a plank position with a running motion. It engages multiple muscle groups, improving cardiovascular endurance and core stability.",Cardio,Full Body,Medicine Ball,Intermediate,,,"Abdominals, Shoulders, Legs, Arms"
637,Decline oblique crunch,"The decline oblique crunch is a popular bodyweight exercise targeting the obliques and the rectus abdominis or ""six-pack"" muscles. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",Strength,Abdominals,,Intermediate,8.5,Average,"Obliques, Rectus Abdominis"
638,Decline sit-up,"The decline sit-up is a bodyweight core exercise that works the rectus abdominis or ""six pack"" muscles. Sit-up variations are usually performed for moderate to high reps, such as 10-15 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,,Intermediate,,,rectus abdominis
639,Hanging Windshield Wiper,"The hanging windshield wiper is an advanced abdominal training exercise that is also extremely challenging to other muscles of the upper body, including the lats (latissimus dorsi), biceps, and grip. It requires—and builds—great strength in the rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles. If you can't perform it hanging from a bar, the lying windshield wiper on the floor provides some of the same benefits.",Strength,Abdominals,,Intermediate,,,"rectus abdominis, obliques, lats, biceps, grip"
640,Exercise Ball Pull-In,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,Strength,Abdominals,Exercise Ball,Intermediate,8.9,Average,"Rectus Abdominis, Obliques, Transverse Abdominis"
641,Exercise ball crunch,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo focusing on a hard contraction, or for higher reps.",Strength,Abdominals,Exercise Ball,Intermediate,8.4,Average,"Rectus Abdominis, Obliques"
642,Feet-elevated crunch,"The feet-elevated crunch is a variation on the basic crunch, a very popular ab move. Resting the feet on a bench takes some of the hip flexor activation out of the movement, focusing the stress more on the abs. It may have a small range of motion, but this movement produces a major burn.",Hypertrophy,Abdominals,Exercise Ball,Intermediate,7.3,Average,"Rectus Abdominis, Obliques"
643,Weighted Ball Side Bend,"The Weighted Ball Side Bend is an exercise that targets the oblique muscles of the abdomen. It involves bending sideways while holding a weighted ball, which helps to improve core strength and stability.",Strength,Abdominals,Exercise Ball,Beginner,6.4,Average,"Obliques, Rectus Abdominis"
644,Swiss Ball Ab Roll-Out,"The exercise ball roll-out is an exercise that strengthens the core, shoulders and upper- back muscles. It starts in a plank-style position, with the arms resting on a ball. Then, you roll the ball out in front of you as far as you can while maintaining a strong, neutral spinal position. The lack of stability from the ball increases the degree of difficulty. This is a difficult movement, and beginners may need to use a limited range of motion.",Strength,Abdominals,Exercise Ball,Intermediate,,,"Core, Shoulders, Upper Back"
645,Exercise Ball Cable Crunch - Gethin Variation,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps.",Strength,Abdominals,Cable,Intermediate,,,"Rectus Abdominis, Obliques"
646,Exercise ball squat and twist,"The exercise ball squat and twist is a combination exercise targeting the quads, but also the obliques because of the twisting motion with each repetition. The exercise ball is held close to the chest throughout. Because it is a lightweight movement, it is usually performed for high reps or for time, and can be a great part of a bodyweight and exercise ball circuit.",Strength,Legs,Exercise Ball,Intermediate,,,"Quadriceps, Obliques"
647,Swiss Ball V-Up With Foot Pass,"The exercise ball V-up is a popular movement to target the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. It involves passing an exercise ball or yoga ball back and forth between the hands and feet while performing V-ups. It can be performed for reps or time as part of any ab-focused workout or bodyweight circuit.",Strength,Abdominals,Exercise Ball,Intermediate,,,"Rectus Abdominis, Obliques"
648,Exercise ball pike,"The exercise ball pike is a challenging move that targets the core. It involves thrusting the hips into full flexion over a ball, then extending out to a foot-elevated plank with the feet on the ball. It's a challenging move from a strength perspective, but also for balance. It can be the centerpiece of an ab workout or go along with other body weight or ball movements in an ab circuit.",Strength,Abdominals,Exercise Ball,Intermediate,,,"Rectus Abdominis, Transverse Abdominis, Obliques"
649,Exercise ball bird dog,"The exercise ball bird dog is a dynamic movement focusing on the glutes and the postural muscles of the upper back. When performing it, use an exercise ball that is tall enough to support your chest and core, but short enough to allow your hands and knees to reach the ground. It is slightly easier than a bodyweight bird dog and can work as a regression for that movement. It can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise.",Mobility,Back,Exercise Ball,Intermediate,,,"Glutes, Upper Back, Core"
650,Exercise ball superman,"The exercise ball superman is a slightly more advanced variation of the bodyweight superman exercise. It targets many muscles along the posterior or backside of the body, including the rear deltoids, trapezius, spinal erectors, glutes, and hamstrings. It can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise.",Mobility,Back,Exercise Ball,Intermediate,,,"rear deltoids, trapezius, spinal erectors, glutes, hamstrings"
651,BOSU cross-body crunch,"The BOSU cross-body crunch is a dynamic abdominal exercise performed on a BOSU ball or other stability training device. It targets several of the muscles in the core, including the obliques and the rectus abdominis or ""six-pack"" muscles. It is usually performed in alternating reps, either for time or a number of reps, as part of an ab-focused workout or a circuit involving body weight or the BOSU ball.",Strength,Abdominals,Exercise Ball,Intermediate,,,"obliques, rectus abdominis"
652,Exercise Ball Knee Tuck - Gethin Varation,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,Strength,Abdominals,Exercise Ball,Intermediate,,,"Rectus Abdominis, Obliques, Transverse Abdominis"
653,Alternating Exercise Ball Knee Tucks - Gethin Variation,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,Strength,Abdominals,Exercise Ball,Intermediate,,,"Rectus Abdominis, Transverse Abdominis, Obliques"
654,AM Ball Crunch,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps.",Strength,Abdominals,Exercise Ball,Intermediate,,,"Rectus Abdominis, Obliques"
655,30 Bosu Cable Reverse Crunch,The Bosu Cable Reverse Crunch is an effective exercise for targeting the abdominal muscles. It involves using a Bosu ball and cable machine to enhance core stability and strength.,Strength,Abdominals,Exercise Ball,Intermediate,,,"Rectus Abdominis, Obliques"
656,BOSU knee tuck,"The BOSU knee tuck is a dynamic abdominal movement performed on a BOSU ball or other stability training device. It primarily targets the rectus abdominis or ""six-pack"" muscles of the core. It can be performed for time or reps as part of an ab-focused workout or a circuit involving body weight or the BOSU ball.",Strength,Abdominals,Exercise Ball,Intermediate,,,"rectus abdominis, obliques"
657,30 Side Plank On Ball,"The feet-elevated side plank on ball is a more advanced version of a traditional bodyweight side plank. The feet are balanced on an exercise ball, providing a balance challenge but also increasing the load placed upon the obliques and shoulder muscles. It is usually performed for timed holds, either one side at a time or alternating sides. If a ball is unavailable, some of the benefits of the movement can be obtained by performing side planks with the feet elevated on a couch, chair, bench, or other stable object.",Strength,Abdominals,Exercise Ball,Intermediate,,,"Obliques, Shoulders"
658,Hanging exercise ball leg raise,"The hanging exercise ball leg raise is an exercise targeting the abs and hip flexors. Instead of resting the forearms on the pads of an apparatus, it's performed hanging from a bar with an exercise ball held between the legs.",Strength,Abdominals,Exercise Ball,Intermediate,,,"Rectus Abdominis, Hip Flexors"
659,Taylor Exercise Ball Stir-The-Pot,The Taylor Exercise Ball Stir-The-Pot is a core stability exercise that engages the abdominal muscles while promoting balance and coordination. It involves rotating the arms in a circular motion while maintaining a plank position on an exercise ball.,Mobility,Abdominals,Exercise Ball,Intermediate,,,"Transverse Abdominis, Rectus Abdominis, Obliques"
660,FYR2 Air Ball,The FYR2 Air Ball is a dynamic exercise that engages multiple muscle groups while improving balance and coordination. It is often used in functional training to enhance overall body mobility.,Mobility,Full Body,Exercise Ball,Intermediate,,,"Core, Legs, Arms"
661,Feet-elevated plank on ball,"The feet-elevated plank is a variation on the straight-arm plank, a bodyweight standard. The feet are elevated on a ball to align the body parallel to the floor and provide a greater stabilization challenge. This makes it more difficult than straight-arm planks on the floor, but also puts more emphasis on the shoulder muscles. It is often used as a shoulder and core warm-up, or as a burnout movement for a chest or shoulder workout.",Strength,Shoulders,Exercise Ball,Intermediate,,,"Shoulders, Abdominals"
662,Band Hip Adductions,"Band hip adductions are an effective exercise for targeting the inner thigh muscles. This exercise involves using a resistance band to strengthen the hip adductors, improving stability and balance.",Strength,Legs,Bands,Beginner,8.6,Average,"Adductors, Quadriceps, Hamstrings"
663,Lateral Band Walk,"The Lateral Band Walk is an effective exercise for strengthening the hip muscles and improving lateral stability. It involves walking sideways while keeping a resistance band around the legs, targeting the glutes and outer thighs.",Strength,Legs,Bands,Intermediate,0.0,,"Glutes, Hip Abductors, Quadriceps"
664,FYR2 Standing Banded Leg Abduction,"The FYR2 Standing Banded Leg Abduction is an exercise that targets the outer thighs and glutes. It involves standing and using a resistance band to perform leg abductions, which helps to strengthen and tone the lower body.",Strength,Legs,Bands,Intermediate,,,"Glutes, Hip Abductors, Quadriceps"
665,Iliotibial band SMR,"Iliotibial band self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller or other ""trigger point"" massage tool. By applying pressure strategically to the IT band along the side of the upper leg, some people find they can cause this often painful and tight area to relax or ""release."" IT band SMR is often accompanied by SMR on the glute or quad muscles, or by stretches that target the glutes or quads.",Mobility,Legs,Foam Roll,Intermediate,8.2,Average,"Iliotibial band, Glutes, Quadriceps"
666,Adductor SMR,"Adductor self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the adductor muscles in the inner thigh region, some people find they can cause this often painful and tight muscle to relax or ""release."" Adductor SMR is often accompanied by SMR on the iliotibial (IT) band or glutes (TFL muscles), or by stretches that target the adductors.",Mobility,Legs,Foam Roll,Beginner,4.0,Average,"Adductors, Iliotibial Band, Glutes"
667,Lying Bent Leg Groin,The Lying Bent Leg Groin exercise targets the inner thigh muscles to improve flexibility and mobility. It involves lying on your back and bringing your bent legs towards your chest to stretch the groin area.,Mobility,Legs,Other,Beginner,2.8,Average,"Adductors, Hamstrings, Quadriceps"
668,Lateral box jump,"The lateral box jump is a plyometric exercise targeting lateral agility and lower-body strength. It's a great move for athletes in many sports, including basketball, skiing, and tennis.",Power,Legs,Other,Intermediate,0.0,,"Quadriceps, Hamstrings, Glutes, Calves"
669,Thigh adductor,"The thigh adductor machine is a lower-body exercise that targets the muscles of the inner thighs. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.",Strength,Legs,Machine,Intermediate,9.0,Average,"Adductors, Quadriceps, Hamstrings"
670,Thigh abductor,"The thigh abductor is a lower-body exercise that targets the muscles of the outer hips and glutes. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.",Strength,Legs,Machine,Intermediate,8.2,Average,"Glutes, Hip Abductors"
671,Standing Hip Circles,"Standing hip circles are a dynamic mobility exercise that helps improve hip flexibility and range of motion. This exercise involves moving the hips in circular motions, which can enhance joint mobility and reduce tightness.",Mobility,Abductors,Body Only,Beginner,8.8,Average,"Hip Flexors, Glutes, Quadriceps, Hamstrings"
672,Groiners,"Groiners are a dynamic stretching exercise that helps improve flexibility and mobility in the hips and legs. This movement mimics a lunge while incorporating a deep stretch, making it great for warming up before workouts.",Mobility,Legs,Body Only,Beginner,8.8,Average,"Hip flexors, Hamstrings, Quadriceps, Glutes"
673,Fire Hydrant,The Fire Hydrant exercise targets the glutes and hip muscles. It involves lifting one leg to the side while keeping the other knee on the ground.,Strength,Legs,Body Only,Beginner,8.0,Average,"Glutes, Hip Flexors, Abductors"
